t	x	y	z	twist	chord	alpha	dCLda	Cm	CLmin	CLmax	Cdf	Cdp
7.70521E-02	-8.22564E-02	7.70521E-02	0.00000E+00	0.00000E+00	3.29026E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
8.73174E-02	-8.21728E-02	8.73174E-02	0.00000E+00	0.00000E+00	3.28691E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
9.81531E-02	-8.20730E-02	9.81531E-02	0.00000E+00	0.00000E+00	3.28292E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
1.09542E-01	-8.19555E-02	1.09542E-01	0.00000E+00	0.00000E+00	3.27822E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
1.21468E-01	-8.18184E-02	1.21468E-01	0.00000E+00	0.00000E+00	3.27274E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
1.33911E-01	-8.16600E-02	1.33911E-01	0.00000E+00	0.00000E+00	3.26640E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
1.46852E-01	-8.14785E-02	1.46852E-01	0.00000E+00	0.00000E+00	3.25914E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
1.60272E-01	-8.12721E-02	1.60272E-01	0.00000E+00	0.00000E+00	3.25088E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
1.74150E-01	-8.10390E-02	1.74150E-01	0.00000E+00	0.00000E+00	3.24156E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
1.88465E-01	-8.07776E-02	1.88465E-01	0.00000E+00	0.00000E+00	3.23110E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
2.03193E-01	-8.04861E-02	2.03193E-01	0.00000E+00	0.00000E+00	3.21944E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
2.18314E-01	-8.01627E-02	2.18314E-01	0.00000E+00	0.00000E+00	3.20651E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
2.33802E-01	-7.98060E-02	2.33802E-01	0.00000E+00	0.00000E+00	3.19224E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
2.49636E-01	-7.94141E-02	2.49636E-01	0.00000E+00	0.00000E+00	3.17657E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
2.65789E-01	-7.89858E-02	2.65789E-01	0.00000E+00	0.00000E+00	3.15943E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
2.82237E-01	-7.85193E-02	2.82237E-01	0.00000E+00	0.00000E+00	3.14077E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
2.98955E-01	-7.80134E-02	2.98955E-01	0.00000E+00	0.00000E+00	3.12054E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
3.15917E-01	-7.74667E-02	3.15917E-01	0.00000E+00	0.00000E+00	3.09867E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
3.33097E-01	-7.68780E-02	3.33097E-01	0.00000E+00	0.00000E+00	3.07512E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
3.50469E-01	-7.62459E-02	3.50469E-01	0.00000E+00	0.00000E+00	3.04984E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
3.68005E-01	-7.55696E-02	3.68005E-01	0.00000E+00	0.00000E+00	3.02278E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
3.85678E-01	-7.48478E-02	3.85678E-01	0.00000E+00	0.00000E+00	2.99391E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
4.03462E-01	-7.40798E-02	4.03462E-01	0.00000E+00	0.00000E+00	2.96319E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
4.21329E-01	-7.32647E-02	4.21329E-01	0.00000E+00	0.00000E+00	2.93059E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
4.39250E-01	-7.24018E-02	4.39250E-01	0.00000E+00	0.00000E+00	2.89607E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
4.57200E-01	-7.14904E-02	4.57200E-01	0.00000E+00	0.00000E+00	2.85962E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
4.75150E-01	-7.05300E-02	4.75150E-01	0.00000E+00	0.00000E+00	2.82120E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
4.93071E-01	-6.95202E-02	4.93071E-01	0.00000E+00	0.00000E+00	2.78081E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
5.10938E-01	-6.84607E-02	5.10938E-01	0.00000E+00	0.00000E+00	2.73843E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
5.28722E-01	-6.73511E-02	5.28722E-01	0.00000E+00	0.00000E+00	2.69405E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
5.46395E-01	-6.61915E-02	5.46395E-01	0.00000E+00	0.00000E+00	2.64766E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
5.63931E-01	-6.49817E-02	5.63931E-01	0.00000E+00	0.00000E+00	2.59927E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
5.81303E-01	-6.37220E-02	5.81303E-01	0.00000E+00	0.00000E+00	2.54888E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
5.98483E-01	-6.24123E-02	5.98483E-01	0.00000E+00	0.00000E+00	2.49649E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
6.15445E-01	-6.10531E-02	6.15445E-01	0.00000E+00	0.00000E+00	2.44212E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
6.32163E-01	-5.96447E-02	6.32163E-01	0.00000E+00	0.00000E+00	2.38579E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
6.48611E-01	-5.81876E-02	6.48611E-01	0.00000E+00	0.00000E+00	2.32750E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
6.64764E-01	-5.66823E-02	6.64764E-01	0.00000E+00	0.00000E+00	2.26729E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
6.80598E-01	-5.51297E-02	6.80598E-01	0.00000E+00	0.00000E+00	2.20519E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
6.96086E-01	-5.35303E-02	6.96086E-01	0.00000E+00	0.00000E+00	2.14121E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
7.11207E-01	-5.18852E-02	7.11207E-01	0.00000E+00	0.00000E+00	2.07541E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
7.25935E-01	-5.01952E-02	7.25935E-01	0.00000E+00	0.00000E+00	2.00781E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
7.40250E-01	-4.84614E-02	7.40250E-01	0.00000E+00	0.00000E+00	1.93846E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
7.54128E-01	-4.66849E-02	7.54128E-01	0.00000E+00	0.00000E+00	1.86740E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
7.67548E-01	-4.48670E-02	7.67548E-01	0.00000E+00	0.00000E+00	1.79468E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
7.80489E-01	-4.30090E-02	7.80489E-01	0.00000E+00	0.00000E+00	1.72036E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
7.92932E-01	-4.11122E-02	7.92932E-01	0.00000E+00	0.00000E+00	1.64449E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
8.04858E-01	-3.91780E-02	8.04858E-01	0.00000E+00	0.00000E+00	1.56712E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
8.16247E-01	-3.72081E-02	8.16247E-01	0.00000E+00	0.00000E+00	1.48832E-01	-0.00000E+00	6.16163E+00	0.00000E+00	-1.36780E+00	1.36960E+00	6.93689E-03	1.65869E-03
8.27083E-01	-3.52039E-02	8.27083E-01	0.00000E+00	0.00000E+00	1.40816E-01	-0.00000E+00	6.14667E+00	0.00000E+00	-1.35670E+00	1.35840E+00	6.96738E-03	1.69131E-03
8.37348E-01	-3.31672E-02	8.37348E-01	0.00000E+00	0.00000E+00	1.32669E-01	-0.00000E+00	6.13575E+00	0.00000E+00	-1.34480E+00	1.34650E+00	7.00049E-03	1.69836E-03
8.47027E-01	-3.10997E-02	8.47027E-01	0.00000E+00	0.00000E+00	1.24399E-01	-0.00000E+00	6.11833E+00	0.00000E+00	-1.33320E+00	1.33480E+00	7.03803E-03	1.75689E-03
8.56105E-01	-2.90031E-02	8.56105E-01	0.00000E+00	0.00000E+00	1.16012E-01	-0.00000E+00	6.09823E+00	0.00000E+00	-1.31970E+00	1.32130E+00	7.07721E-03	1.81607E-03
8.64568E-01	-2.68793E-02	8.64568E-01	0.00000E+00	0.00000E+00	1.07517E-01	-0.00000E+00	6.08102E+00	0.00000E+00	-1.30430E+00	1.30590E+00	7.12016E-03	1.83918E-03
8.72403E-01	-2.47302E-02	8.72403E-01	0.00000E+00	0.00000E+00	9.89209E-02	-0.00000E+00	6.05353E+00	0.00000E+00	-1.28710E+00	1.28870E+00	7.17361E-03	1.93066E-03
8.79598E-01	-2.25577E-02	8.79598E-01	0.00000E+00	0.00000E+00	9.02310E-02	-0.00000E+00	6.02150E+00	0.00000E+00	-1.26890E+00	1.27030E+00	7.23410E-03	2.06967E-03
8.86141E-01	-2.03639E-02	8.86141E-01	0.00000E+00	0.00000E+00	8.14555E-02	-0.00000E+00	6.00164E+00	0.00000E+00	-1.25010E+00	1.25150E+00	7.29951E-03	2.14607E-03
8.92023E-01	-1.81506E-02	8.92023E-01	0.00000E+00	0.00000E+00	7.26024E-02	-0.00000E+00	5.98532E+00	0.00000E+00	-1.22780E+00	1.22920E+00	7.38393E-03	2.29623E-03
8.97235E-01	-1.59200E-02	8.97235E-01	0.00000E+00	0.00000E+00	6.36801E-02	-0.00000E+00	5.99525E+00	0.00000E+00	-1.20280E+00	1.20410E+00	7.48607E-03	2.50131E-03
9.01768E-01	-1.36742E-02	9.01768E-01	0.00000E+00	0.00000E+00	5.46969E-02	-0.00000E+00	6.02732E+00	0.00000E+00	-1.17440E+00	1.17560E+00	7.60049E-03	2.67066E-03
9.05615E-01	-1.14153E-02	9.05615E-01	0.00000E+00	0.00000E+00	4.56613E-02	-0.00000E+00	6.13996E+00	0.00000E+00	-1.14110E+00	1.14220E+00	7.79033E-03	3.03902E-03
9.08771E-01	-9.14547E-03	9.08771E-01	0.00000E+00	0.00000E+00	3.65819E-02	-0.00000E+00	6.39906E+00	0.00000E+00	-1.10120E+00	1.10210E+00	8.09344E-03	3.61082E-03
9.11231E-01	-6.86682E-03	9.11231E-01	0.00000E+00	0.00000E+00	2.74673E-02	-0.00000E+00	6.67535E+00	0.00000E+00	-1.05140E+00	1.05210E+00	8.55721E-03	4.46705E-03
9.12991E-01	-4.58156E-03	9.12991E-01	0.00000E+00	0.00000E+00	1.83262E-02	-0.00000E+00	7.15987E+00	0.00000E+00	-9.81100E-01	9.81800E-01	9.52197E-03	6.13066E-03
9.14048E-01	-2.29188E-03	9.14048E-01	0.00000E+00	0.00000E+00	9.16753E-03	0.00000E+00	7.86632E+00	0.00000E+00	-8.60200E-01	8.60800E-01	1.20077E-02	1.00579E-02
9.14400E-01	0.00000E+00	9.14400E-01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	7.86632E+00	0.00000E+00	-8.60200E-01	8.60800E-01	1.20077E-02	1.00579E-02
